code,activity,example
010101,Sleeping,sleeping
010101,Sleeping,waking up
010101,Sleeping,falling asleep
010101,Sleeping,dreaming
010101,Sleeping,dozing off
010101,Sleeping,cat napping
010101,Sleeping,napping
010101,Sleeping,getting some shut-eye
010101,Sleeping,getting up
010101,Sleeping,dozing
010102,Sleeplessness,insomnia
010102,Sleeplessness,lying awake
010102,Sleeplessness,tossing and turning
010102,Sleeplessness,counting sheep
010201,"Washing, dressing and grooming oneself",bathing/showering
010201,"Washing, dressing and grooming oneself",washing face
010201,"Washing, dressing and grooming oneself",brushing/flossing teeth
010201,"Washing, dressing and grooming oneself",washing hands
010201,"Washing, dressing and grooming oneself",grooming
010201,"Washing, dressing and grooming oneself",putting in contact lenses
010201,"Washing, dressing and grooming oneself",blow-drying hair
010201,"Washing, dressing and grooming oneself",shaving legs
010201,"Washing, dressing and grooming oneself",brushing hair
010201,"Washing, dressing and grooming oneself",cleaning contact lenses
010201,"Washing, dressing and grooming oneself",putting on makeup
010201,"Washing, dressing and grooming oneself",washing hair
010201,"Washing, dressing and grooming oneself",shaving
010201,"Washing, dressing and grooming oneself",filing nails
010201,"Washing, dressing and grooming oneself",getting dressed/undressed
010201,"Washing, dressing and grooming oneself",combing hair
010201,"Washing, dressing and grooming oneself",changing clothes
010201,"Washing, dressing and grooming oneself",gargling mouthwash
010201,"Washing, dressing and grooming oneself",laying clothes out
010201,"Washing, dressing and grooming oneself",putting on shoes
010201,"Washing, dressing and grooming oneself",putting on hand cream
010201,"Washing, dressing and grooming oneself",removing curlers
010201,"Washing, dressing and grooming oneself",perming own hair
010201,"Washing, dressing and grooming oneself",putting on night cream
010201,"Washing, dressing and grooming oneself",doing own hair
010201,"Washing, dressing and grooming oneself",cutting own hair
010201,"Washing, dressing and grooming oneself",running bath
010201,"Washing, dressing and grooming oneself",washing feet
010201,"Washing, dressing and grooming oneself",doing nails
010201,"Washing, dressing and grooming oneself",cleaning ears
010201,"Washing, dressing and grooming oneself",putting on nail polish
010201,"Washing, dressing and grooming oneself",brushing lint off clothing
010201,"Washing, dressing and grooming oneself",using the bathroom
010201,"Washing, dressing and grooming oneself",putting on pajamas
010299,Grooming,mom braided my hair
010299,Grooming,friend rubbed suntan lotion on me
010299,Grooming,getting a haircut from spouse/friend (unpaid)
010301,Health-related self care,doing childbirth exercises
010301,Health-related self care,meditating (not religious)
010301,Health-related self care,dressing a wound
010301,Health-related self care,taking vitamins
010301,Health-related self care,giving oneself a shot
010301,Health-related self care,resting because of injury
010301,Health-related self care,taking insulin
010301,Health-related self care,taking cough drops
010301,Health-related self care,putting ice on injury
010301,Health-related self care,bandaging ankle
010301,Health-related self care,gargling for sore throat
010301,Health-related self care,giving oneself an injection
010301,Health-related self care,resting because of illness
010301,Health-related self care,testing blood sugar level
010301,Health-related self care,taking medicine
010301,Health-related self care,applying ointment
010301,Health-related self care,doing stress management exercises
010301,Health-related self care,changing oxygen
010301,Health-related self care,checking my temperature
010301,Health-related self care,checking my oxygen levels
010301,Health-related self care,exercising or therapy for medical reasons
010301,Health-related self care,taking my temperature before a telehealth/telemedicine appt
010301,Health-related self care,taking my blood pressure before a telehealth/telemedicine appt
010301,Health-related self care,taking my temperature before leaving for the airport
010301,Health-related self care,self-administering a COVID test
010399,Self care,feeling sick
010401,Personal/Private activities,having sex
010401,Personal/Private activities,"private activity, unspecified"
010401,Personal/Private activities,making out
010401,Personal/Private activities,"personal activity, unspecified"
010401,Personal/Private activities,cuddling partner in bed
010401,Personal/Private activities,spouse gave me a massage
010401,Personal/Private activities,necking
010501,Personal emergencies,being involved in a personal accident
010501,Personal emergencies,stanching blood flow
010501,Personal emergencies,losing consciousness
010501,Personal emergencies,waiting for ambulance
010501,Personal emergencies,being involved in an accident requiring emergency care
020101,Interior cleaning,tidying up
020101,Interior cleaning,picking up clothes
020101,Interior cleaning,recycling/sorting newspapers for recycling
020101,Interior cleaning,straightening up the house
020101,Interior cleaning,cleaning windows/washing walls
020101,Interior cleaning,picking up the house/cleaning the house
020101,Interior cleaning,vacuuming/sweeping floors/sweeping
020101,Interior cleaning,washing floor
020101,Interior cleaning,making the bed/changing sheets
020101,Interior cleaning,cleaning out drawers
020101,Interior cleaning,cleaning bathrooms/cleaning bedroom
020101,Interior cleaning,emptying ashtray
020101,Interior cleaning,cleaning carpets/shampooing carpet
020101,Interior cleaning,cleaning bathtub/cleaning toilet
020101,Interior cleaning,polishing furniture/dusting
020101,Interior cleaning,cleaning out closet
020101,Interior cleaning,emptying trash cans/taking out the trash
020101,Interior cleaning,scrubbing
020101,Interior cleaning,cleaning cupboards
020101,Interior cleaning,cleaning floors/mopping floors
020101,Interior cleaning,picking up toys
020102,Laundry,putting laundry in washer/dryer
020102,Laundry,bringing in washing/laundry
020102,Laundry,hanging clothes on clothesline
020102,Laundry,putting towels in bathroom
020102,Laundry,sorting laundry/folding clean laundry
020102,Laundry,hand washing clothing
020102,Laundry,treating stains/spot treating clothes
020102,Laundry,taking clothes off the line
020102,Laundry,ironing
020102,Laundry,taking clothes out of washer
020102,Laundry,putting clean laundry away
020102,Laundry,washing curtains
020102,Laundry,putting out clean towels
020102,Laundry,folding clothes/hanging clothes
020102,Laundry,removing lint from dryer
020102,Laundry,adding fabric softener
020102,Laundry,doing laundry/checking wash
020103,"Sewing, repairing, & maintaining textiles",sewing on buttons/hemming garmets
020103,"Sewing, repairing, & maintaining textiles",polishing shoes
020103,"Sewing, repairing, & maintaining textiles",sewing a new dress/clothing
020103,"Sewing, repairing, & maintaining textiles",repairing/caring for clothes/hats/shoes/curtains
020103,"Sewing, repairing, & maintaining textiles",sewing curtains/other hh items
020103,"Sewing, repairing, & maintaining textiles",cleaning shoes/sneakers
020103,"Sewing, repairing, & maintaining textiles",knitting/crocheting blankets
020103,"Sewing, repairing, & maintaining textiles","knitting/crocheting sweaters, clothing"
020103,"Sewing, repairing, & maintaining textiles",altering clothing/sewing hem
020103,"Sewing, repairing, & maintaining textiles",crocheting/crocheting quilt
020104,"Storing interior hh items, inc. food",putting away the groceries/putting shopping away
020104,"Storing interior hh items, inc. food",boxing things up for storage
020104,"Storing interior hh items, inc. food",storing food/storing the groceries
020104,"Storing interior hh items, inc. food",putting away decorations/Christmas decorations/holiday items
020104,"Storing interior hh items, inc. food",moving stuff to attic/basement
020201,Food and drink preparation,baking/cooking/broiling/boiling
020201,Food and drink preparation,cooking dinner
020201,Food and drink preparation,defrosting
020201,Food and drink preparation,peeling potatoes
020201,Food and drink preparation,packing food/lunches/picnics
020201,Food and drink preparation,preparing salad
020201,Food and drink preparation,making baby food
020201,Food and drink preparation,baking a cake/baking biscuits
020201,Food and drink preparation,mixing/heating up baby formula
020201,Food and drink preparation,chopping/slicing vegetables
020201,Food and drink preparation,mixing drinks
020201,Food and drink preparation,putting roast in oven
020201,Food and drink preparation,making coffee/tea
020201,Food and drink preparation,smoking fish
020201,Food and drink preparation,heating food up/cooking meals
020201,Food and drink preparation,dehydrating food/drying food
020201,Food and drink preparation,preparing food for company/guests
020201,Food and drink preparation,thawing frozen food
020201,Food and drink preparation,canning food/preserving food
020201,Food and drink preparation,putting icing on cake
020201,Food and drink preparation,preparing food for other hh members
020201,Food and drink preparation,boiling water
020201,Food and drink preparation,getting a drink/pouring water in glass
020201,Food and drink preparation,butchering/carving/salting meat
020201,Food and drink preparation,brewing beer or wine
020201,Food and drink preparation,making a gingerbread house
020201,Food and drink preparation,breast-pumping
020201,Food and drink preparation,making jam/bottling fruit
020201,Food and drink preparation,baking Christmas cookies
020202,Food presentation,serving a meal/serving hors d'oeuvres
020202,Food presentation,garnishing food
020202,Food presentation,setting the table
020202,Food presentation,putting out condiments
020202,Food presentation,polishing silver
020202,Food presentation,passing out drinks
020202,Food presentation,filling salt/pepper/sugar
020203,Kitchen and food clean-up,cleaning up after a meal/clearing the table
020203,Kitchen and food clean-up,cleaning oven/stove/barbecue grill
020203,Kitchen and food clean-up,loading the dishwasher/emptying dishwasher
020203,Kitchen and food clean-up,cleaning high chair
020203,Kitchen and food clean-up,washing/drying dishes
020203,Kitchen and food clean-up,cleaning up plates and food
020203,Kitchen and food clean-up,putting leftovers away
020203,Kitchen and food clean-up,wiping table
020203,Kitchen and food clean-up,cleaning up the kitchen only
020203,Kitchen and food clean-up,rinsing dishes/washing pots and pans
020203,Kitchen and food clean-up,cleaning kitchen cupboard
020203,Kitchen and food clean-up,putting dishes away
020203,Kitchen and food clean-up,cleaning freezer/defrosting freezer
020203,Kitchen and food clean-up,throwing away leftovers
020203,Kitchen and food clean-up,cleaning refrigerator
020203,Kitchen and food clean-up,mopping the kitchen floor
020203,Kitchen and food clean-up,cleaning microwave oven
020301,"Interior arrangement, decoration, & repairs",decorating
020301,"Interior arrangement, decoration, & repairs",fumigating house
020301,"Interior arrangement, decoration, & repairs",moving/rearranging furniture
020301,"Interior arrangement, decoration, & repairs",measuring windows for curtains
020301,"Interior arrangement, decoration, & repairs",hanging pictures
020301,"Interior arrangement, decoration, & repairs",making plumbing improvements
020301,"Interior arrangement, decoration, & repairs",hanging curtains/wallpaper
020301,"Interior arrangement, decoration, & repairs",stripping paint
020301,"Interior arrangement, decoration, & repairs",painting
020301,"Interior arrangement, decoration, & repairs",stripping wallpaper
020301,"Interior arrangement, decoration, & repairs",laying linoleum/tile/wood floors
020301,"Interior arrangement, decoration, & repairs",installing carpet
020301,"Interior arrangement, decoration, & repairs",refitting kitchen/bathroom
020301,"Interior arrangement, decoration, & repairs",hanging blinds/shades
020301,"Interior arrangement, decoration, & repairs",remodeling interior of house
020301,"Interior arrangement, decoration, & repairs",taking down towel bars
020301,"Interior arrangement, decoration, & repairs",fixing leaks
020301,"Interior arrangement, decoration, & repairs",decorating the Christmas tree
020301,"Interior arrangement, decoration, & repairs",plastering
020301,"Interior arrangement, decoration, & repairs",carving jack-o-lanterns
020301,"Interior arrangement, decoration, & repairs",putting up shelves
020301,"Interior arrangement, decoration, & repairs",setting up a manger (inside)
020301,"Interior arrangement, decoration, & repairs",replacing fuses
020301,"Interior arrangement, decoration, & repairs",hanging Christmas stockings
020301,"Interior arrangement, decoration, & repairs",changing light bulbs
020301,"Interior arrangement, decoration, & repairs",putting up Christmas decorations (inside)
020301,"Interior arrangement, decoration, & repairs",putting up Christmas lights (inside)
020301,"Interior arrangement, decoration, & repairs",setting up menorah candles (inside)
020301,"Interior arrangement, decoration, & repairs",setting mousetraps
020301,"Interior arrangement, decoration, & repairs",pulling out Christmas decorations
020302,Building and repairing furniture,making furniture
020302,Building and repairing furniture,making cabinets
020302,Building and repairing furniture,refinishing furniture
020302,Building and repairing furniture,stripping furniture
020302,Building and repairing furniture,reupholstering furniture
020302,Building and repairing furniture,sanding wood furniture
020302,Building and repairing furniture,refinishing wood furniture
020302,Building and repairing furniture,staining wood furniture
020302,Building and repairing furniture,repairs to furniture
020302,Building and repairing furniture,changing cabinet hardware
020302,Building and repairing furniture,painting furniture
020302,Building and repairing furniture,assembling furniture
020303,Heating and cooling,chopping wood
020303,Heating and cooling,collecting wood
020303,Heating and cooling,lighting fireplace
020303,Heating and cooling,stacking firewood
020303,Heating and cooling,bringing in wood/kindling
020303,Heating and cooling,setting the fire
020303,Heating and cooling,shoveling coal
020303,Heating and cooling,installing wood burning stove
020303,Heating and cooling,filling heater with fuel
020303,Heating and cooling,installing fireplace
020303,Heating and cooling,installing window AC unit
020303,Heating and cooling,opening/closing windows
020303,Heating and cooling,changing furnace filter
020401,Exterior cleaning,sweeping deck/patio/porch
020401,Exterior cleaning,cleaning shed
020401,Exterior cleaning,sweeping steps
020401,Exterior cleaning,sweeping garage
020401,Exterior cleaning,shoveling snow
020401,Exterior cleaning,cleaning chimney
020401,Exterior cleaning,removing ice from walkways
020401,Exterior cleaning,washing outside windows
020401,Exterior cleaning,putting away yard equipment
020401,Exterior cleaning,picking up trash that blew into yard
020401,Exterior cleaning,putting away bicycles
020401,Exterior cleaning,sweeping sidewalk
020401,Exterior cleaning,cleaning gutters
020401,Exterior cleaning,putting away outside toys
020401,Exterior cleaning,cleaning garage
020402,"Exterior repair, improvements, & decoration",painting/staining porch/deck
020402,"Exterior repair, improvements, & decoration",painting house exterior
020402,"Exterior repair, improvements, & decoration",fixing the roof
020402,"Exterior repair, improvements, & decoration",fixing mailbox
020402,"Exterior repair, improvements, & decoration",fixing broken windows
020402,"Exterior repair, improvements, & decoration",staining house exterior
020402,"Exterior repair, improvements, & decoration",replacing screens
020402,"Exterior repair, improvements, & decoration",fixing weatherboards
020402,"Exterior repair, improvements, & decoration",building a deck
020402,"Exterior repair, improvements, & decoration",fixing bird feeder
020402,"Exterior repair, improvements, & decoration",building a garage/carport
020402,"Exterior repair, improvements, & decoration",building a fence
020402,"Exterior repair, improvements, & decoration",building a shed
020402,"Exterior repair, improvements, & decoration",painting or staining fence
020402,"Exterior repair, improvements, & decoration",putting new roof on house
020402,"Exterior repair, improvements, & decoration",putting new roof on garage
020402,"Exterior repair, improvements, & decoration",adding another room to house
020402,"Exterior repair, improvements, & decoration",setting up garden furniture
020402,"Exterior repair, improvements, & decoration",screening in a porch
020402,"Exterior repair, improvements, & decoration",decorating outside for holidays
020402,"Exterior repair, improvements, & decoration",installing a gate or fence
020402,"Exterior repair, improvements, & decoration",hanging flags
020402,"Exterior repair, improvements, & decoration",paving or blacktopping
020402,"Exterior repair, improvements, & decoration",hanging address numbers
020402,"Exterior repair, improvements, & decoration",making structural additions
020402,"Exterior repair, improvements, & decoration",working on boat lift
020402,"Exterior repair, improvements, & decoration",hanging outdoor lights
020402,"Exterior repair, improvements, & decoration",repairing boat dock
020402,"Exterior repair, improvements, & decoration",decorating outside for parties
020402,"Exterior repair, improvements, & decoration",hanging up wind chimes
020402,"Exterior repair, improvements, & decoration",putting up outdoor holiday decorations
020402,"Exterior repair, improvements, & decoration",repairing wind chimes
020402,"Exterior repair, improvements, & decoration",putting up Christmas lights (outside)
020402,"Exterior repair, improvements, & decoration",putting up Christmas decorations (outside)
020501,"Lawn, garden, and houseplant care",applying pesticides
020501,"Lawn, garden, and houseplant care",picking fruit and vegetables
020501,"Lawn, garden, and houseplant care",spraying for bugs
020501,"Lawn, garden, and houseplant care",gathering nuts
020501,"Lawn, garden, and houseplant care",gardening
020501,"Lawn, garden, and houseplant care","collecting eggs, honey"
020501,"Lawn, garden, and houseplant care",doing yard work
020501,"Lawn, garden, and houseplant care",planting tomatoes
020501,"Lawn, garden, and houseplant care",trimming branches/hedges
020501,"Lawn, garden, and houseplant care",digging in the vegetable garden
020501,"Lawn, garden, and houseplant care",pruning shrubs/flowers
020501,"Lawn, garden, and houseplant care",laying paving stones
020501,"Lawn, garden, and houseplant care","picking up branches, twigs"
020501,"Lawn, garden, and houseplant care",fertilizing garden
020501,"Lawn, garden, and houseplant care",raking leaves
020501,"Lawn, garden, and houseplant care",planting beans
020501,"Lawn, garden, and houseplant care",blowing leaves
020501,"Lawn, garden, and houseplant care",planting fruit tree
020501,"Lawn, garden, and houseplant care",planting
020501,"Lawn, garden, and houseplant care",pruning tree
020501,"Lawn, garden, and houseplant care",mulching
020501,"Lawn, garden, and houseplant care",putting snail killer around vegetables
020501,"Lawn, garden, and houseplant care",watering houseplants
020501,"Lawn, garden, and houseplant care",sowing flower or vegetable seeds
020501,"Lawn, garden, and houseplant care",weeding
020501,"Lawn, garden, and houseplant care",spraying fruit trees
020501,"Lawn, garden, and houseplant care",cutting the grass
020501,"Lawn, garden, and houseplant care",spraying rose bushes
020501,"Lawn, garden, and houseplant care",mowing the lawn
020501,"Lawn, garden, and houseplant care",tying up tomatoes
020501,"Lawn, garden, and houseplant care",edging
020501,"Lawn, garden, and houseplant care",putting pesticides on lawn
020501,"Lawn, garden, and houseplant care",adding chemicals to lawn
020501,"Lawn, garden, and houseplant care",turning sprinkler on or off
020501,"Lawn, garden, and houseplant care",fertilizing the lawn
